# Force coefficients
# liftDir   : (0.0000e+00 1.0000e+00 0.0000e+00)
# dragDir   : (1.0000e+00 0.0000e+00 0.0000e+00)
# pitchAxis : (4.4208e-01 -6.0854e-02 8.9491e-01)
# magUInf   : 1.0000e+00
# lRef      : 1.0000e+00
# Aref      : 1.0000e+00
# CofR      : (0.0000e+00 0.0000e+00 0.0000e+00)
# Time      	Cm          	Cd          	Cl          	Cl(f)       	Cl(r)       
0.265       	8.6873e-02	2.5907e-01	3.9152e-01	2.8263e-01	1.0889e-01
0.266       	8.5575e-02	2.5949e-01	3.9111e-01	2.8113e-01	1.0998e-01
0.267       	8.6401e-02	2.6098e-01	3.9529e-01	2.8405e-01	1.1124e-01
0.268       	8.7964e-02	2.6289e-01	4.0024e-01	2.8809e-01	1.1216e-01
0.269       	9.1577e-02	2.6656e-01	4.0791e-01	2.9553e-01	1.1238e-01
0.27        	9.5806e-02	2.7102e-01	4.1653e-01	3.0407e-01	1.1246e-01
0.271       	9.7806e-02	2.7340e-01	4.2010e-01	3.0786e-01	1.1224e-01
0.272       	9.9644e-02	2.7563e-01	4.2531e-01	3.1230e-01	1.1301e-01
0.273       	1.0313e-01	2.7868e-01	4.3454e-01	3.2040e-01	1.1413e-01
0.274       	1.0561e-01	2.8040e-01	4.4043e-01	3.2583e-01	1.1460e-01
0.275       	1.0899e-01	2.8266e-01	4.4637e-01	3.3218e-01	1.1420e-01
0.276       	1.1230e-01	2.8495e-01	4.5109e-01	3.3784e-01	1.1324e-01
0.277       	1.1363e-01	2.8585e-01	4.5218e-01	3.3971e-01	1.1246e-01
0.278       	1.1412e-01	2.8598e-01	4.5316e-01	3.4070e-01	1.1246e-01
0.279       	1.1425e-01	2.8551e-01	4.5479e-01	3.4164e-01	1.1314e-01
0.28        	1.1502e-01	2.8542e-01	4.5681e-01	3.4342e-01	1.1339e-01
0.281       	1.1583e-01	2.8536e-01	4.5764e-01	3.4465e-01	1.1299e-01
0.282       	1.1667e-01	2.8543e-01	4.5738e-01	3.4536e-01	1.1202e-01
